7324,2023-11-27,955.86
8938,2024-08-31,984.91
4238,2023-12-05,649.18
10944,2024-02-22,54.83
11075,2024-08-14,320.24
13842,2024-05-20,555.05
1126,2023-11-17,308.21
8310,2024-08-09,957.72
6084,2024-08-23,934.52
3161,2024-11-01,488.16
57,2024-05-26,388.08
11179,2024-02-06,24.32
1860,2024-09-30,42.33
9492,2024-09-27,43.54
2853,2024-03-29,44.45
51,2024-05-16,735.84
11997,2024-04-25,620.96
6792,2024-05-21,812.89
9279,2024-04-26,241.51
5292,2024-08-03,123.95
8357,2023-11-05,206.41
14041,2024-05-10,459.13
4657,2024-07-25,423.73
100,2024-01-11,111.23
1802,2024-08-31,677.87
7789,2023-12-03,465.42
3325,2024-09-04,475.69
2843,2023-12-26,432.37
11500,2024-09-15,675.62
6897,2024-07-12,516.94
12382,2024-08-29,758.96
9976,2024-10-20,148.35
5957,2023-12-30,693.67
8450,2024-06-18,721.84
14945,2024-06-14,954.23
6813,2024-09-06,913.78
12604,2024-10-23,507.4
1022,2024-06-07,766.87
5606,2024-06-22,314.02
14711,2023-12-26,394.39
9825,2024-10-19,630.44
10666,2024-03-11,386.69
14204,2024-05-01,405.54
4433,2024-08-01,127.98
99,2024-07-09,826.56
8827,2024-10-04,422.47
1036,2024-07-31,854.47
12274,2024-08-18,730.52
12288,2023-12-05,612.09
4712,2024-03-30,850.01
9791,2024-09-10,867.92
1424,2024-03-05,52.13
12572,2023-12-24,762.91
8986,2024-06-06,354.92
13222,2024-09-30,871.23
3619,2024-08-19,54.56
9813,2024-10-18,51.47
12770,2024-06-06,456.7
13133,2024-02-16,912.58
358,2024-05-23,189.93
2244,2024-05-19,654.15
8097,2024-10-18,935.29
12011,2023-12-26,836.12
1504,2024-09-29,695.96
12747,2024-06-14,274.48
8445,2023-12-12,58.58
2111,2023-11-10,463.7
4385,2024-09-11,564.88
2233,2023-11-19,366.11
3986,2023-12-10,791.36
11881,2024-01-25,331.96
7464,2024-05-01,623.7
4310,2024-04-24,554.63
6345,2024-07-19,126.97
14941,2024-01-19,405.58
1442,2024-10-31,597.64
110,2024-03-26,439.18
7440,2024-03-14,170.56
805,2024-05-15,902.78
10816,2024-08-06,213.19
12195,2024-06-20,108.56
7022,2024-10-04,921.78
10404,2024-03-06,283.22
12598,2024-08-31,67.79
14612,2024-11-03,785.89
8811,2024-05-27,326.87
8843,2024-05-16,751.15
13540,2024-05-17,625.83
1519,2023-12-05,991.71
11963,2024-06-01,20.95
4795,2023-11-19,419.09
1863,2024-05-26,690.08
1971,2024-07-10,855.64
14965,2023-12-01,668.39
4317,2024-04-14,750.78
5192,2024-03-13,390.76
2456,2024-09-28,595.68
4936,2024-04-25,672.59
9314,2024-02-21,210.36
3024,2024-08-07,828.39
3118,2024-05-28,92.9
4403,2024-01-20,307.27
4496,2024-01-06,735.08
12529,2023-12-20,33.26
13304,2024-02-07,487.73
14837,2024-08-20,928.09
5482,2023-11-14,685.78
12167,2024-08-08,228.54
12848,2023-11-14,944.88
6606,2024-04-15,386.82
9355,2023-12-24,166.22
5135,2023-11-20,464.03
7319,2024-09-30,748.08
14058,2024-04-05,974.41
4599,2024-07-09,791.07
5814,2024-01-25,458.23
13995,2024-04-01,110.03
2339,2024-03-22,879.59
327,2024-02-08,622.32
3134,2024-09-03,971.61
7228,2024-01-15,723.82
14350,2024-04-03,139.79
5177,2024-01-28,873.1
7399,2024-07-31,35.16
2311,2024-09-08,644.95
3794,2024-06-04,793.91
2973,2024-04-05,439.5
5848,2024-07-08,710.99
10284,2024-10-09,845.49
10102,2024-10-18,714.15
9614,2023-12-28,938.34
7853,2024-03-28,80.33
11068,2024-03-04,871.94
8727,2023-11-30,458.62
8707,2024-02-29,714.42
10390,2024-09-03,583.19
12466,2024-08-14,724.06
1046,2024-04-12,871.1
11460,2023-12-28,999.24
13993,2023-11-09,227.35
401,2024-08-13,345.94
14755,2024-02-06,544.75
14238,2024-06-28,700.24
13783,2024-06-03,922.57
1648,2024-02-15,415.32
3217,2024-11-01,248.61
3796,2024-07-29,920.86
2878,2024-01-16,510.55
4772,2023-11-09,96.3
2636,2024-09-14,947.89
3138,2023-12-17,853.41
5540,2024-03-08,596.82
196,2024-02-18,950.76
13368,2024-02-01,845.5
4968,2024-02-16,792.98
12931,2023-12-10,253.91
6530,2024-09-05,963.12
3441,2024-08-31,999.09
2819,2024-05-22,770.54
12087,2024-03-26,833.01
4459,2024-11-02,413.03
7489,2023-11-06,566.34
6230,2024-03-01,107.5
10439,2023-12-11,985.22
7715,2024-04-19,921.14
408,2023-12-26,251.99
641,2024-10-13,997.77
550,2023-12-31,117.62
13534,2024-01-26,653.17
14375,2024-06-09,344.09
6020,2023-12-30,119.67
4237,2023-11-08,63.74
12907,2023-11-27,906.97
14560,2024-04-03,35.74
12057,2023-11-23,77.34
9730,2024-04-14,955.23
648,2024-04-12,771.42
5466,2024-06-08,491.31
9030,2023-11-23,757.68
14582,2023-11-06,983.83
2245,2024-08-03,944.53
2858,2024-06-18,293.67
11046,2024-06-17,841.68
8100,2024-03-06,669.31
4957,2024-07-08,276.72
2533,2024-03-10,790.14
1727,2024-03-23,629.47
13492,2024-01-19,652.59
7752,2024-04-13,944.71
9990,2024-08-12,899.19
11241,2024-07-10,966.61
12372,2024-08-11,492.04
4522,2024-01-30,119.04
4789,2024-01-12,448.96
491,2024-01-27,82.97
9088,2024-06-22,393.27
9099,2023-11-21,304.19
10917,2024-06-05,741.05
2232,2024-02-07,454.32
10234,2024-01-24,553.35
12045,2024-01-25,549.43
8177,2024-03-07,560.13
1891,2024-06-10,193.49
6448,2024-01-10,144.68
9173,2023-12-12,934.57
9243,2024-02-01,623.36
9139,2023-11-14,973.56
3970,2024-10-10,92.58
12118,2024-10-05,398.86
9807,2024-05-02,295.21
4299,2024-10-03,32.82
14091,2024-02-07,950.73
235,2024-04-25,67.76
2053,2024-08-25,190.33
12679,2023-12-19,435.27
8027,2024-09-30,95.4
12059,2023-11-12,494.64
10745,2024-03-29,829.15
12212,2024-05-05,996.07
1701,2024-10-17,363.61
11402,2024-03-16,298.66
9780,2023-12-21,402.1
1465,2024-07-05,258.54
13764,2024-07-27,610.75
13704,2024-03-03,292.3
10280,2024-04-19,562.7
3504,2024-09-24,419.55
14893,2024-09-26,779.18
13974,2023-12-19,406.3
10848,2024-02-14,74.79
3480,2024-04-25,281.02
11778,2024-09-27,997.92
13767,2024-05-15,451.07
3168,2024-06-22,434.33
8301,2024-07-26,83.19
9783,2024-07-06,685.72
6077,2024-04-15,29.6
3667,2024-08-18,921.81
4112,2024-06-18,306.44
6240,2024-04-11,204.15
73,2024-08-29,892.69
7019,2024-01-21,66.63
7301,2023-12-24,76.79
1686,2023-12-15,438.36
9179,2024-08-02,724.06
13881,2024-04-23,939.8
11071,2024-07-11,471.69
14528,2024-10-25,266.73
3355,2024-10-17,564.12
5915,2024-01-21,292.23
275,2024-01-17,531.5
11960,2024-10-18,103.87
6205,2024-03-21,889.87
